n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
15,3,0.013,0.50,3,4,solved,1.906
15,3,0.013,0.50,3,5,solved,0.953
15,3,0.013,0.50,4,1,solved,1.328
15,3,0.013,0.50,4,2,solved,1.625
15,3,0.013,0.50,4,3,solved,0.906
15,3,0.013,0.50,4,4,solved,4.188
15,3,0.013,0.50,4,5,solved,2.344
15,3,0.013,0.70,1,1,solved,0.844
15,3,0.013,0.70,1,2,solved,0.578
15,3,0.013,0.70,1,3,solved,0.656
15,3,0.013,0.70,1,4,solved,0.844
15,3,0.013,0.70,1,5,solved,0.672
15,3,0.013,0.70,2,1,solved,21.016
15,3,0.013,0.70,2,2,solved,8.109
15,3,0.013,0.70,2,3,solved,5.797
15,3,0.013,0.70,2,4,solved,4.188
15,3,0.013,0.70,2,5,solved,1.188
15,3,0.013,0.70,3,1,solved,3.234
15,3,0.013,0.70,3,2,solved,0.406
15,3,0.013,0.70,3,3,solved,0.969
15,3,0.013,0.70,3,4,solved,0.594
15,3,0.013,0.70,3,5,solved,5.438
15,3,0.013,0.70,4,1,solved,1.438
15,3,0.013,0.70,4,2,solved,2.594
15,3,0.013,0.70,4,3,solved,3.031
15,3,0.013,0.70,4,4,solved,3.578
15,3,0.013,0.70,4,5,solved,1.266
15,6,0.027,0.30,1,1,solved,5.734
15,6,0.027,0.30,1,2,solved,1.609
15,6,0.027,0.30,1,3,solved,2.609
15,6,0.027,0.30,1,4,solved,3.438
15,6,0.027,0.30,1,5,solved,2.562
15,6,0.027,0.30,2,1,solved,30.703
15,6,0.027,0.30,2,2,solved,30.734
15,6,0.027,0.30,2,3,solved,91.047
15,6,0.027,0.30,2,4,solved,74.062
15,6,0.027,0.30,2,5,solved,31.031
15,6,0.027,0.30,3,1,solved,13.016
15,6,0.027,0.30,3,2,solved,4.609
15,6,0.027,0.30,3,3,solved,11.797
15,6,0.027,0.30,3,4,solved,15.109
15,6,0.027,0.30,3,5,solved,7.109
15,6,0.027,0.30,4,1,solved,14.703
15,6,0.027,0.30,4,2,solved,62.672
15,6,0.027,0.30,4,3,solved,38.812
15,6,0.027,0.30,4,4,solved,88.047
15,6,0.027,0.30,4,5,solved,36.688
15,6,0.027,0.50,1,1,solved,0.719
15,6,0.027,0.50,1,2,solved,1.422
15,6,0.027,0.50,1,3,solved,2.688
15,6,0.027,0.50,1,4,solved,3.812
15,6,0.027,0.50,1,5,solved,1.766
15,6,0.027,0.50,2,1,solved,94.812
15,6,0.027,0.50,2,2,solved,82.875
15,6,0.027,0.50,2,3,solved,29.453
15,6,0.027,0.50,2,4,solved,79.125
15,6,0.027,0.50,2,5,solved,104.922
15,6,0.027,0.50,3,1,solved,13.688
15,6,0.027,0.50,3,2,solved,14.703
15,6,0.027,0.50,3,3,solved,10.656
15,6,0.027,0.50,3,4,solved,22.188
